"","V1"
"1",-3.03908968195455
"2",-3.0941763987508
"3",-3.16514225908261
"4",-3.18061696468302
"5",-3.25303743471713
"6",-3.24979626520864
"7",-3.25431702759987
"8",-3.2835791274609
"9",-3.23667397605265
"10",-3.18463548701623
"11",-3.22654724345946
"12",-3.17489654113497
"13",-3.23475686700696
"14",-3.11392762804342
"15",-3.07026989498205
"16",-3.12521600194559
"17",-3.19853310457843
"18",-3.28778480575962
"19",-3.39013925860769
"20",-3.41296024930355
"21",-3.45989779279085
"22",-3.43272077456715
"23",-3.4636020960598
"24",-3.3757195174465
"25",-3.39223750514153
"26",-3.32591477701247
"27",-3.4094750254968
"28",-3.52066404447111
"29",-3.52428951359914
"30",-3.54331287290945
"31",-3.59113055578388
"32",-3.55803976678378
"33",-3.31369763624545
"34",-3.33863988959237
"35",-3.41581757354653
"36",-3.4597164513571
"37",-3.46708804900231
"38",-3.48087415591106
"39",-3.49090292476753
"40",-3.52465330230731
"41",-3.52744145560042
"42",-3.53061327387102
"43",-3.52450720245637
"44",-3.53651262550625
"45",-3.49238014520064
"46",-3.54414801829036
"47",-3.55163845775499
"48",-3.50755754657242
"49",-3.43667938780331
"50",-3.3191070539071
"51",-3.37598388469992
"52",-3.47951349648593
"53",-3.48915319962141
"54",-3.53725308826271
"55",-3.53419945739817
"56",-3.46020893329142
"57",-3.5623038250331
"58",-3.5823841718359
"59",-3.60564206311343
"60",-3.55573529559777
"61",-3.49797028017282
"62",-3.45074593778908
"63",-3.44724592705272
"64",-3.41173770081738
"65",-3.19514337892375
"66",-3.34370940567648
"67",-3.41732569204185
"68",-3.51679555550841
"69",-3.4971606495722
"70",-3.49791924488665
"71",-3.53687705213854
"72",-3.60550202105374
"73",-3.59930454349016
"74",-3.61689073987559
"75",-3.67406535626234
"76",-3.59628188734043
"77",-3.50101857342774
"78",-3.55609890087077
"79",-3.41329076139559
"80",-3.36709177020002
"81",-3.22324925760646
"82",-2.93678175823769
"83",-3.00253644943781
"84",-3.17997916090447
"85",-3.29450279098593
"86",-3.13890911654456
"87",-3.20024049992128
"88",-3.33651017750204
"89",-3.33084201299743
"90",-3.2982475383605
"91",-3.26886731113856
"92",-3.16608021604419
"93",-3.15833837090672
"94",-3.09844404100959
"95",-3.07294638422452
"96",-2.99200873787188
"97",-3.05298818664799
"98",-3.10601303551866
"99",-2.99716224279948
"100",-3.03421775866693
"101",-3.01987675228176
"102",-3.05512810028151
"103",-3.02080739047573
"104",-2.94386025611164
"105",-3.05382758837893
"106",-3.1284111701014
"107",-3.19535523232291
"108",-3.15257080888893
"109",-3.12342383191807
"110",-2.9855166658393
"111",-3.03387294707077
"112",-2.92732366392411
"113",-2.8937979221059
"114",-2.95363296731639
"115",-3.10547984130309
"116",-3.17628959091141
"117",-3.27437615607352
"118",-3.25269151352217
"119",-3.22743482979184
"120",-3.18531049510207
"121",-3.13197603101622
"122",-3.198110321611
"123",-3.17817036609769
"124",-3.24672232473977
"125",-3.29189447781981
"126",-3.22697037702986
"127",-3.34859038699126
"128",-3.44818447398074
"129",-3.47834010318565
"130",-3.38681168980958
"131",-3.38948715139968
"132",-3.56918694589619
"133",-3.56445179294912
"134",-3.57162785918306
"135",-3.28062926445663
"136",-3.29592178374248
"137",-3.3400899181776
"138",-3.29164095727114
"139",-3.23839613344853
"140",-3.28848699009646
"141",-3.32000669489456
"142",-3.3876034160873
"143",-3.41087917410032
"144",-3.36498345371655
"145",-3.3914574936428
"146",-3.25083466220347
"147",-3.30256261186282
"148",-3.43651649812373
"149",-3.44781464893618
"150",-3.48656061605671
"151",-3.56742069990002
"152",-3.5621676719346
"153",-3.55763723433591
"154",-3.57917122131134
"155",-3.64977148214787
"156",-3.67084156100356
"157",-3.66271181067709
"158",-3.6888753068208
"159",-3.69980718059711
"160",-3.66330736634299
"161",-3.64651120435368
"162",-3.69333959093288
"163",-3.6610887096223
"164",-3.71719184720149
"165",-3.77815416003537
"166",-3.81230784210248
"167",-3.83373597185843
"168",-3.87107027343446
"169",-3.90452048962293
"170",-3.92420475910388
"171",-3.97121493885282
"172",-3.97061160775278
"173",-4.1017708049273
"174",-4.18198778467819
"175",-4.1753232187288
"176",-4.27061647564176
"177",-4.27272688597329
"178",-4.13225604956082
"179",-4.31070460666468
"180",-4.33757980904936
"181",-4.3662256368057
"182",-4.28875365199856
"183",-4.45551084397865
"184",-4.48885695044082
"185",-4.47154123597499
"186",-4.48909542332045
"187",-4.39976032317177
"188",-4.30444073111399
"189",-4.39817222834935
"190",-4.22409668625177
"191",-4.33057426870213
"192",-4.30872380631859
"193",-4.1703270875885
"194",-3.98827010835083
"195",-4.05859503730446
"196",-4.01845717846246
"197",-4.11798230501527
"198",-4.10784434262013
"199",-4.15934841300791
"200",-4.14748053864281
"201",-4.10760169749237
"202",-4.06166023461862
"203",-4.00221856131775
"204",-3.93780510455744
"205",-3.93123044950506
"206",-3.95072664862132
"207",-4.04636303090841
"208",-4.06196494353817
"209",-4.00278216439384
"210",-4.00974401631851
"211",-4.03296684369422
"212",-4.02552789579234
"213",-4.04131114262504
"214",-4.01794195166729
"215",-3.96379628387096
"216",-3.84866302695793
"217",-3.84293733651773
"218",-3.74925985854843
"219",-3.49511199601186
"220",-3.38633112066018
"221",-3.60604043454391
"222",-3.78930390539453
"223",-3.8637850804071
"224",-3.95299334029314
"225",-3.83559030754682
"226",-3.889754040821
"227",-3.94156453627772
"228",-3.97858452164025
"229",-3.92302795089187
"230",-3.76394161764743
"231",-3.85797777930835
"232",-3.92465094537481
"233",-3.83864595980663
"234",-3.82635003592312
"235",-3.69923693442371
"236",-3.77407585925434
"237",-3.75827737368034
"238",-3.7917839007332
"239",-3.93536710187787
"240",-3.91163599850623
"241",-3.9269590656149
"242",-3.90059713572576
"243",-3.90679494965745
"244",-3.8890958378569
"245",-3.87634422671684
"246",-3.78055039323298
"247",-3.81878783581276
"248",-3.79908959102976
"249",-3.8068236636429
"250",-3.82309264542207
"251",-3.83865775453752
"252",-3.89986284033963
"253",-3.90309646373489
"254",-3.91358441730953
"255",-3.9499948103015
"256",-3.91844557055646
"257",-3.93274285667442
"258",-3.95899134925042
"259",-3.78695508967482
"260",-3.89247520891574
"261",-3.8992510156479
"262",-3.90487592523488
"263",-3.95263914152996
